objectid,x,y,date,city,country,venue,recorded,available,tour,regdates,the_geom,cartodb_id,created_at,updated_at,year
52,14.033297,48.166698,1995-06-25 00:00:00+00,Wels,Austria,Schlachthof,true,false,1995 Spring/Summer European Tour,0,0101000020E61000001D1CEC4D0C112C4080272D5C56154840,52,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1995
53,14.033297,48.166698,1992-06-15 00:00:00+00,Wels,Austria,Schlachthof,true,false,1992 Spring European Tour,0,0101000020E61000001D1CEC4D0C112C4080272D5C56154840,53,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1992
54,4.035499,50.935999,1990-09-23 00:00:00+00,Aalst,Belgium,Netwerk,true,false,1990 Fall European Tour,0,0101000020E6100000AE2990D9592410405B0BB3D0CE774940,54,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
55,4.348796,50.850496,1999-10-15 00:00:00+00,Brussels,Belgium,Ancienne Belgique,true,true,1999 Fall European Tour,0,0101000020E610000008E753C72A6511407DB08C0DDD6C4940,55,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1999
56,2.863796,51.0325,1992-05-26 00:00:00+00,Diksmuiden,Belgium,Boter Halle,true,false,1992 Spring European Tour,0,0101000020E61000002E5393E00DE906405C8FC2F528844940,56,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1992
57,4.989199,51.1656,1990-09-22 00:00:00+00,Geel,Belgium,De Bogaerd,true,false,1990 Fall European Tour,0,0101000020E610000091F12895F0F41340DA1B7C6132954940,57,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1990
58,3.716698,51.049995,1995-05-19 00:00:00+00,Gent,Belgium,Zaal Vooruit,true,false,1995 Spring/Summer European Tour,0,0101000020E61000006EDE3829CCBB0D4055FB743C66864940,58,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1995
59,3.716698,51.049995,1988-10-16 00:00:00+00,Gent,Belgium,Democrazy,true,false,1988 Fall European Tour,0,0101000020E61000006EDE3829CCBB0D4055FB743C66864940,59,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1988
60,4.700898,50.879598,1995-05-18 00:00:00+00,Leuven,Belgium,Lido,true,false,1995 Spring/Summer European Tour,0,0101000020E6100000C5538F34B8CD124042D0D1AA96704940,60,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1995
61,5.464797,50.780498,1992-05-22 00:00:00+00,Tongeren,Belgium,Concordia,true,false,1992 Spring European Tour,0,0101000020E61000009B1DA9BEF3DB1540F54BC45BE7634940,61,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1992
62,-43.937799,-19.9208,1997-08-16 00:00:00+00,Belo Horizonte,Brazil,Trash,true,true,1997 Summer Brazil/South America Tour,0,0101000020E61000005A9C31CC09F845C024287E8CB9EB33C0,62,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
63,-43.937799,-19.9208,1994-08-15 00:00:00+00,Belo Horizonte,Brazil,Belo Horizonte Independent Music Festival,true,true,1994 Fall Brazil Tour,0,0101000020E61000005A9C31CC09F845C024287E8CB9EB33C0,63,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
64,-47.929698,-15.7797,1997-08-10 00:00:00+00,Brasilia,Brazil,Teatro Garagem Do Sesc,true,true,1997 Summer Brazil/South America Tour,0,0101000020E61000000C94145800F747C0E561A1D6348F2FC0,64,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
65,-47.929698,-15.7797,1997-08-09 00:00:00+00,Brasilia,Brazil,Teatro Garagem Do Sesc,true,false,1997 Summer Brazil/South America Tour,0,0101000020E61000000C94145800F747C0E561A1D6348F2FC0,65,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
66,-47.060796,-22.905597,1997-08-19 00:00:00+00,Campinas,Brazil,A.S.S.A.M.P.I.,true,false,1997 Summer Brazil/South America Tour,0,0101000020E610000023DDCF29C88747C0105B7A34D5E736C0,66,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
67,-49.273098,-25.427799,1994-08-26 00:00:00+00,Curitiba,Brazil,92 Graus,true,true,1994 Fall Brazil Tour,0,0101000020E61000002F4D11E0F4A248C0F2423A3C846D39C0,67,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
68,-49.273098,-25.427799,1997-08-14 00:00:00+00,Curitiba,Brazil,92 Graus,true,false,1997 Summer Brazil/South America Tour,0,0101000020E61000002F4D11E0F4A248C0F2423A3C846D39C0,68,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
69,-49.273098,-25.427799,1994-08-25 00:00:00+00,Curitiba,Brazil,92 Graus,false,false,1994 Fall Brazil Tour,0,0101000020E61000002F4D11E0F4A248C0F2423A3C846D39C0,69,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
70,-49.273098,-25.427799,1994-08-27 00:00:00+00,Curitiba,Brazil,92 Graus,true,false,1994 Fall Brazil Tour,0,0101000020E61000002F4D11E0F4A248C0F2423A3C846D39C0,70,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
71,-42.859398,-22.744401,1994-08-19 00:00:00+00,Itaborai,Brazil,Col. Leao XIII Hall,true,true,1994 Fall Brazil Tour,0,0101000020E6100000B81FF0C0006E45C0151C5E1091BE36C0,71,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
72,-48.845598,-26.304399,1997-08-15 00:00:00+00,Joinville,Brazil,Liga De Socierade,true,true,1997 Summer Brazil/South America Tour,0,0101000020E610000011C8258E3C6C48C063EFC517ED4D3AC0,72,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
73,-51.162797,-23.310301,1997-08-13 00:00:00+00,Londrina,Brazil,Kawale,false,false,1997 Summer Brazil/South America Tour,0,0101000020E610000086713788D69449C085EAE6E26F4F37C0,73,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
74,-47.649199,-22.725297,1997-08-05 00:00:00+00,Piracicaba,Brazil,Blue Galeria,true,false,1997 Summer Brazil/South America Tour,0,0101000020E610000047CCECF318D347C00DE36E10ADB936C0,74,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
75,-43.207497,-22.902797,1994-08-18 00:00:00+00,Rio De Janeiro,Brazil,Circo Voador,true,false,1994 Fall Brazil Tour,0,0101000020E61000005182FE428F9A45C04AED45B41DE736C0,75,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
76,-46.333601,-23.9608,1997-08-20 00:00:00+00,Santos,Brazil,Bar De Tres,true,false,1997 Summer Brazil/South America Tour,0,0101000020E6100000DA740470B32A47C02EFF21FDF6F537C0,76,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
77,-46.636099,-23.547497,1994-08-20 00:00:00+00,Sao Paulo,Brazil,Aeroanta,true,false,1994 Fall Brazil Tour,0,0101000020E6100000580229B16B5147C07AA86DC3288C37C0,77,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
78,-46.636099,-23.547497,1997-08-06 00:00:00+00,Sao Paulo,Brazil,Brodway,true,true,1997 Summer Brazil/South America Tour,0,0101000020E6100000580229B16B5147C07AA86DC3288C37C0,78,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
79,-46.636099,-23.547497,1994-08-21 00:00:00+00,Sao Paulo,Brazil,Aeroanta,true,false,1994 Fall Brazil Tour,0,0101000020E6100000580229B16B5147C07AA86DC3288C37C0,79,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1994
80,-40.337797,-20.319399,1997-08-07 00:00:00+00,Vitoria,Brazil,Camburi Clube,true,true,1997 Summer Brazil/South America Tour,0,0101000020E6100000EDD79DEE3C2B44C007600322C45134C0,80,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1997
81,-122.952601,49.266395,2001-07-07 00:00:00+00,Burnaby,Canada,Bill Copeland Arena,true,false,2001 Summer Mid-West/Canada Tour,0,0101000020E6100000C3482F6AF7BC5EC0B2683A3B19A24840,81,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,2001
82,-114.085299,51.050098,2001-07-03 00:00:00+00,Calgary,Canada,MacEwan Hall,true,false,2001 Summer Mid-West/Canada Tour,0,0101000020E61000006BD8EF8975855CC029CC7B9C69864940,82,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,2001
83,-114.085299,51.050098,1991-08-17 00:00:00+00,Calgary,Canada,MacEwan Hall,true,true,1991 Summer/Fall USA/Canada Tour,0,0101000020E61000006BD8EF8975855CC029CC7B9C69864940,83,2014-04-10 00:32:08.454146+00,2014-05-04 19:14:38.865666+00,1991
