x,y,date,city,country,venue,tour,year
8.279099,49.984199,1995-07-01 00:00:00+00,Mainz,Germany,Kuze,1995 Spring/Summer European Tour,1995
8.279099,49.984199,1990-10-12 00:00:00+00,Mainz,Germany,Eltzerhof,1990 Fall European Tour,1990
11.432215,48.261783,1999-09-25 00:00:00+00,Munich,Germany,Backstage,1999 Fall European Tour,1999
11.433405,48.260593,1990-10-14 00:00:00+00,Munich,Germany,Theaterfabrik,1990 Fall European Tour,1990
11.435785,48.259403,1992-06-16 00:00:00+00,Munich,Germany,Theaterfabrik,1992 Spring European Tour,1992
11.434595,48.260593,1989-12-05 00:00:00+00,Munich,Germany,Theaterfabrik,1989 Fall European Tour,1989
11.432215,48.260593,1995-06-26 00:00:00+00,Munich,Germany,Nachtwerk,1995 Spring/Summer European Tour,1995
9.283299,48.6833,1992-06-23 00:00:00+00,Neuhausen auf den Fildern,Germany,Egelseehalle,1992 Spring European Tour,1992
11.077497,49.454198,1999-09-24 00:00:00+00,Nuremberg,Germany,Z-Bau,1999 Fall European Tour,1999
11.077497,49.454198,1992-06-22 00:00:00+00,Nuremberg,Germany,Komm,1992 Spring European Tour,1992
6.8807,51.473099,1990-10-10 00:00:00+00,Oberhausen,Germany,Music Circus,1990 Fall European Tour,1990
8.049799,52.272597,1992-06-29 00:00:00+00,Osnabruck,Germany,Hyde Park,1992 Spring European Tour,1992
11.663299,48.064896,1988-11-09 00:00:00+00,Ottobrunn,Germany,Juz Einsteinstr.,1988 Fall European Tour,1988
9.176998,48.782297,1995-06-30 00:00:00+00,Stuttgart,Germany,Hallschlag JZ,1995 Spring/Summer European Tour,1995
9.176998,48.782297,1990-10-13 00:00:00+00,Stuttgart,Germany,Altes Feuerwehrhaus,1990 Fall European Tour,1990
9.991598,48.398396,1992-06-20 00:00:00+00,Ulm,Germany,Stadthalle Langenau,1992 Spring European Tour,1992
9.991598,48.398396,1990-10-16 00:00:00+00,Ulm,Germany,Roxy,1990 Fall European Tour,1990
9.991598,48.398396,1995-06-27 00:00:00+00,Ulm,Germany,Roxy,1995 Spring/Summer European Tour,1995
8.493597,48.062302,1992-06-24 00:00:00+00,V-Schwinnigen,Germany,Canape,1992 Spring European Tour,1992
9.316398,48.832398,1988-11-02 00:00:00+00,Waiblingen,Germany,Villa Roller,1988 Fall European Tour,1988
9.936097,49.787797,1990-10-11 00:00:00+00,Wurzburg,Germany,Rock Palace,1990 Fall European Tour,1990
114.157697,22.285497,1996-11-03 00:00:00+00,Hong Kong,Hong Kong,Kowloon Park,1996 US/Japan/Hong Kong/Australia Tour,1996
