x,y,date,city,country,venue,tour,year
-49.273098,-25.427799,1994-08-26 00:00:00+00,Curitiba,Brazil,92 Graus,1994 Fall Brazil Tour,1994
-49.273098,-25.427799,1997-08-14 00:00:00+00,Curitiba,Brazil,92 Graus,1997 Summer Brazil/South America Tour,1997
-49.273098,-25.427799,1994-08-25 00:00:00+00,Curitiba,Brazil,92 Graus,1994 Fall Brazil Tour,1994
-49.273098,-25.427799,1994-08-27 00:00:00+00,Curitiba,Brazil,92 Graus,1994 Fall Brazil Tour,1994
-42.859398,-22.744401,1994-08-19 00:00:00+00,Itaborai,Brazil,Col. Leao XIII Hall,1994 Fall Brazil Tour,1994
-48.845598,-26.304399,1997-08-15 00:00:00+00,Joinville,Brazil,Liga De Socierade,1997 Summer Brazil/South America Tour,1997
-51.162797,-23.310301,1997-08-13 00:00:00+00,Londrina,Brazil,Kawale,1997 Summer Brazil/South America Tour,1997
-47.649199,-22.725297,1997-08-05 00:00:00+00,Piracicaba,Brazil,Blue Galeria,1997 Summer Brazil/South America Tour,1997
-43.207497,-22.902797,1994-08-18 00:00:00+00,Rio De Janeiro,Brazil,Circo Voador,1994 Fall Brazil Tour,1994
-46.333601,-23.9608,1997-08-20 00:00:00+00,Santos,Brazil,Bar De Tres,1997 Summer Brazil/South America Tour,1997
-46.636099,-23.547497,1994-08-20 00:00:00+00,Sao Paulo,Brazil,Aeroanta,1994 Fall Brazil Tour,1994
-46.636099,-23.547497,1997-08-06 00:00:00+00,Sao Paulo,Brazil,Brodway,1997 Summer Brazil/South America Tour,1997
-46.636099,-23.547497,1994-08-21 00:00:00+00,Sao Paulo,Brazil,Aeroanta,1994 Fall Brazil Tour,1994
-40.337797,-20.319399,1997-08-07 00:00:00+00,Vitoria,Brazil,Camburi Clube,1997 Summer Brazil/South America Tour,1997
-122.952601,49.266395,2001-07-07 00:00:00+00,Burnaby,Canada,Bill Copeland Arena,2001 Summer Mid-West/Canada Tour,2001
-114.085299,51.050098,2001-07-03 00:00:00+00,Calgary,Canada,MacEwan Hall,2001 Summer Mid-West/Canada Tour,2001
-114.085299,51.050098,1991-08-17 00:00:00+00,Calgary,Canada,MacEwan Hall,1991 Summer/Fall USA/Canada Tour,1991
-113.468697,53.550095,2001-07-02 00:00:00+00,Edmonton,Canada,Polish Hall,2001 Summer Mid-West/Canada Tour,2001
-66.665597,45.9454,1998-07-24 00:00:00+00,Fredericton,Canada,New Maryland Recreation Center,1998 Summer Canada/USA Tour,1998
-80.249699,43.550096,1989-09-30 00:00:00+00,Guelph,Canada,Loft,1989 Canada/NE Tour,1989
-80.249699,43.550096,1993-09-08 00:00:00+00,Guelph,Canada,Peter Clark Hall University of Guelph,1993 Fall USA/Canda Tour,1993
-63.5724,44.645298,1998-07-25 00:00:00+00,Halifax,Canada,Olympic Bingo,1998 Summer Canada/USA Tour,1998
-119.485696,49.883096,2001-07-05 00:00:00+00,Kelowna,Canada,Performance Centre,2001 Summer Mid-West/Canada Tour,2001
-73.587801,45.508798,1998-07-21 00:00:00+00,Montreal,Canada,Spectrum,1998 Summer Canada/USA Tour,1998
-73.587801,45.508798,1991-08-02 00:00:00+00,Montreal,Canada,Rialto Theatre,1991 Summer/Fall USA/Canada Tour,1991
-73.587801,45.508798,1995-09-23 00:00:00+00,Montreal,Canada,Metropolis,1995 Fall USA/Canada Tour,1995
-73.587801,45.508798,1993-09-12 00:00:00+00,Montreal,Canada,Metropolis,1993 Fall USA/Canda Tour,1993
-75.698098,45.4112,1993-09-11 00:00:00+00,Ottawa,Canada,Carleton University Porter Hall,1993 Fall USA/Canda Tour,1993
-75.698098,45.4112,1998-07-20 00:00:00+00,Ottawa,Canada,Barrymore's,1998 Summer Canada/USA Tour,1998
-75.698098,45.4112,1991-08-03 00:00:00+00,Ottawa,Canada,Barrymore's,1991 Summer/Fall USA/Canada Tour,1991
-75.698098,45.4112,1989-09-29 00:00:00+00,Ottawa,Canada,Glebe Community Center,1989 Canada/NE Tour,1989
-75.698098,45.4112,1995-09-26 00:00:00+00,Ottawa,Canada,Carlton University Porter Hall,1995 Fall USA/Canada Tour,1995
-71.2145,46.812301,1998-07-22 00:00:00+00,Quebec City,Canada,Centre De Losire,1998 Summer Canada/USA Tour,1998
-71.2145,46.812301,1995-09-24 00:00:00+00,Quebec City,Canada,Cepec Limouli,1995 Fall USA/Canada Tour,1995
-104.617797,50.450099,2001-06-30 00:00:00+00,Regina,Canada,University of Regina,2001 Summer Mid-West/Canada Tour,2001
-104.617797,50.450099,1991-08-15 00:00:00+00,Regina,Canada,College West,1991 Summer/Fall USA/Canada Tour,1991
-106.634497,52.116795,2001-07-01 00:00:00+00,Saskatoon,Canada,Sid's Garage,2001 Summer Mid-West/Canada Tour,2001
-79.416299,43.700099,1991-08-04 00:00:00+00,Toronto,Canada,Opera House,1991 Summer/Fall USA/Canada Tour,1991
-79.416299,43.700099,1995-09-27 00:00:00+00,Toronto,Canada,RPM Warehouse,1995 Fall USA/Canada Tour,1995
-79.416299,43.700099,1998-07-19 00:00:00+00,Toronto,Canada,Phoenix Theater,1998 Summer Canada/USA Tour,1998
-79.416299,43.700099,1993-09-10 00:00:00+00,Toronto,Canada,RPM Warehouse,1993 Fall USA/Canda Tour,1993
-79.416299,43.700099,1993-09-09 00:00:00+00,Toronto,Canada,RPM Warehouse,1993 Fall USA/Canda Tour,1993
-79.416299,43.700099,1989-10-01 00:00:00+00,Toronto,Canada,Rivoli Theater,1989 Canada/NE Tour,1989
-123.119296,49.249698,1991-08-19 00:00:00+00,Vancouver,Canada,N. Van. Sports Arena Hockey Rink,1991 Summer/Fall USA/Canada Tour,1991
-123.119296,49.249698,1993-05-07 00:00:00+00,Vancouver,Canada,Plaza of Nations,1993 Spring USA Tour,1993
-123.3693,48.432897,2001-07-06 00:00:00+00,Victoria,Canada,Archie Browning Hockey Arena,2001 Summer Mid-West/Canada Tour,2001
-97.146999,49.884396,1991-08-14 00:00:00+00,Winnipeg,Canada,Duncan Arena,1991 Summer/Fall USA/Canada Tour,1991
-97.146999,49.884396,2001-06-29 00:00:00+00,Winnipeg,Canada,Le Rendez Vous,2001 Summer Mid-West/Canada Tour,2001
-70.6483,-33.456902,1997-08-23 00:00:00+00,Santiago,Chile,Laberinto,1997 Summer Brazil/South America Tour,1997
14.420797,50.088,1995-06-29 00:00:00+00,Prague,Czech Republic,Roxy,1995 Spring/Summer European Tour,1995
14.420797,50.088,1999-09-23 00:00:00+00,Prague,Czech Republic,Lucerna,1999 Fall European Tour,1999
14.420797,50.088,1992-06-13 00:00:00+00,Prague,Czech Republic,Roxy,1992 Spring European Tour,1992
12.565496,55.675897,1988-10-22 00:00:00+00,Copenhagen,Denmark,Ungdomshuset,1988 Fall European Tour,1988
12.565496,55.675897,1995-07-10 00:00:00+00,Copenhagen,Denmark,Ungdomshuset,1995 Spring/Summer European Tour,1995
12.565496,55.675897,1992-07-04 00:00:00+00,Copenhagen,Denmark,Ungdomshuset,1992 Spring European Tour,1992
12.565496,55.675897,1990-09-27 00:00:00+00,Copenhagen,Denmark,Ungdomshuset,1990 Fall European Tour,1990
12.565496,55.675897,2000-10-07 00:00:00+00,Copenhagen,Denmark,Loppen,2000 Fall Northern European Tour,2000
-1.8998,52.481399,1990-09-18 00:00:00+00,Birmingham,England,Goldwyns,1990 Fall European Tour,1990
-1.8998,52.481399,1989-11-19 00:00:00+00,Birmingham,England,Edward's #8,1989 Fall European Tour,1989
-1.8998,52.481399,2002-10-22 00:00:00+00,Birmingham,England,Sanctuary,2002 Fall UK/Ireland Tour,2002
-1.7521,53.793896,1992-05-17 00:00:00+00,Bradford,England,Queen's Hall,1992 Spring European Tour,1992
-0.139498,50.828399,2002-10-20 00:00:00+00,Brighton,England,Corn Exchange,2002 Fall UK/Ireland Tour,2002
-0.139498,50.828399,1999-05-14 00:00:00+00,Brighton,England,Brighton Center,1999 Spring UK/Ireland Tour,1999
-0.139498,50.828399,1995-05-06 00:00:00+00,Brighton,England,Sussex University Nelson Mandela Hall,1995 Spring/Summer European Tour,1995
-0.139498,50.828399,1989-11-14 00:00:00+00,Brighton,England,Zap Club,1989 Fall European Tour,1989
-2.596698,51.455196,2002-11-01 00:00:00+00,Bristol,England,Academy,2002 Fall UK/Ireland Tour,2002
-2.596698,51.455196,1990-09-10 00:00:00+00,Bristol,England,Bierkellar,1990 Fall European Tour,1990
-2.596698,51.455196,1989-11-22 00:00:00+00,Bristol,England,Bierkeller,1989 Fall European Tour,1989
0.116704,52.199999,1992-05-06 00:00:00+00,Cambridge,England,Junction,1992 Spring European Tour,1992
1.079896,51.278995,1988-12-02 00:00:00+00,Canterbury,England,Technical College,1988 Fall European Tour,1988
1.079896,51.278995,1989-11-13 00:00:00+00,Canterbury,England,Arts College,1989 Fall European Tour,1989
-3.527499,50.723594,1989-11-16 00:00:00+00,Exeter,England,Exeter University,1989 Fall European Tour,1989
-3.527499,50.723594,2002-10-21 00:00:00+00,Exeter,England,University Lemon Grove,2002 Fall UK/Ireland Tour,2002
1.128599,51.372999,1990-09-20 00:00:00+00,Herne Bay,England,King's Hall,1990 Fall European Tour,1990
-1.5479,53.7965,1988-11-30 00:00:00+00,Leeds,England,Duchess of York,1988 Fall European Tour,1988
-1.5479,53.7965,1989-11-20 00:00:00+00,Leeds,England,Leeds Polytechnic,1989 Fall European Tour,1989
-1.5479,53.7965,2002-10-31 00:00:00+00,Leeds,England,Metropolitan University,2002 Fall UK/Ireland Tour,2002
-1.5479,53.7965,1999-04-29 00:00:00+00,Leeds,England,Metro University,1999 Spring UK/Ireland Tour,1999
-1.5479,53.7965,1995-05-15 00:00:00+00,Leeds,England,Metropolitan University,1995 Spring/Summer European Tour,1995
-2.977897,53.410596,1990-09-11 00:00:00+00,Liverpool,England,Liverpool Polytechnic Canteen,1990 Fall European Tour,1990
-2.977897,53.410596,1988-11-26 00:00:00+00,Liverpool,England,Planet X,1988 Fall European Tour,1988
-2.977897,53.410596,1989-11-25 00:00:00+00,Liverpool,England,Bluecoat Chamber,1989 Fall European Tour,1989
-0.1257,51.508497,1989-11-29 00:00:00+00,London,England,Boston Arms,1989 Fall European Tour,1989
-0.1257,51.508497,1990-09-19 00:00:00+00,London,England,Kilburn National,1990 Fall European Tour,1990
-0.1257,51.508497,1992-05-09 00:00:00+00,London,England,Brixton Academy,1992 Spring European Tour,1992
-0.1257,51.508497,1988-11-24 00:00:00+00,London,England,Sir George Robey,1988 Fall European Tour,1988
-0.1257,51.508497,1995-05-13 00:00:00+00,London,England,Brixton Academy,1995 Spring/Summer European Tour,1995
-0.1257,51.508497,2002-11-04 00:00:00+00,London,England,Forum,2002 Fall UK/Ireland Tour,2002
-0.1257,51.508497,2002-11-02 00:00:00+00,London,England,Forum,2002 Fall UK/Ireland Tour,2002
-0.1257,51.508497,1988-12-05 00:00:00+00,London,England,Boston Arms,1988 Fall European Tour,1988
-0.1257,51.508497,2002-11-03 00:00:00+00,London,England,Forum,2002 Fall UK/Ireland Tour,2002
-0.1257,51.508497,1999-05-15 00:00:00+00,London,England,Rex,1999 Spring UK/Ireland Tour,1999
-2.2374,53.480997,1999-05-12 00:00:00+00,Manchester,England,University Student Union,1999 Spring UK/Ireland Tour,1999
-2.2374,53.480997,1992-05-14 00:00:00+00,Manchester,England,Irish Centre Ardri Hall,1992 Spring European Tour,1992
-2.2374,53.480997,1989-11-28 00:00:00+00,Manchester,England,Boardwalk,1989 Fall European Tour,1989
-2.2374,53.480997,2002-10-30 00:00:00+00,Manchester,England,Manchester University,2002 Fall UK/Ireland Tour,2002
-2.2374,53.480997,1995-05-07 00:00:00+00,Manchester,England,Academy,1995 Spring/Summer European Tour,1995
-5.889798,54.217994,1989-11-26 00:00:00+00,Newcastle,England,Riverside,1989 Fall European Tour,1989
-5.889798,54.217994,1999-05-02 00:00:00+00,Newcastle,England,Riverside,1999 Spring UK/Ireland Tour,1999
-5.889798,54.217994,1990-09-14 00:00:00+00,Newcastle,England,Riverside,1990 Fall European Tour,1990
-5.889798,54.217994,1992-05-15 00:00:00+00,Newcastle,England,Riverside,1992 Spring European Tour,1992
1.298297,52.627799,1992-05-07 00:00:00+00,Norwich,England,Waterfront,1992 Spring European Tour,1992
-1.150497,52.9536,1999-05-13 00:00:00+00,Nottingham,England,Marcus Garvey Centre,1999 Spring UK/Ireland Tour,1999
-1.150497,52.9536,1995-05-12 00:00:00+00,Nottingham,England,Trent University,1995 Spring/Summer European Tour,1995
-1.150497,52.9536,2002-10-23 00:00:00+00,Nottingham,England,Rock City,2002 Fall UK/Ireland Tour,2002
-1.150497,52.9536,1988-11-27 00:00:00+00,Nottingham,England,Underground Hic,1988 Fall European Tour,1988
-1.150497,52.9536,1990-09-13 00:00:00+00,Nottingham,England,Marcus Garvey Centre,1990 Fall European Tour,1990
-1.150497,52.9536,1989-11-21 00:00:00+00,Nottingham,England,Marcus Garvey Centre,1989 Fall European Tour,1989
-1.150497,52.9536,1992-05-08 00:00:00+00,Nottingham,England,Nottingham Polytechnic,1992 Spring European Tour,1992
-1.091298,50.798997,1989-11-15 00:00:00+00,Portsmouth,England,Portsmouth Polytechnic,1989 Fall European Tour,1989
-1.091298,50.798997,1992-05-05 00:00:00+00,Portsmouth,England,Gayety Lounge,1992 Spring European Tour,1992
1.025699,51.360698,1992-05-04 00:00:00+00,Whitstable,England,Assembly Rooms,1992 Spring European Tour,1992
-2.616698,53.533294,1988-12-01 00:00:00+00,Wigan,England,Wigan Unity Club,1988 Fall European Tour,1988
-2.123,52.585496,1999-04-30 00:00:00+00,Wolverhampton,England,Wulfrun Hall,1999 Spring UK/Ireland Tour,1999
-2.123,52.585496,1995-05-14 00:00:00+00,Wolverhampton,England,Wulfrun Hall,1995 Spring/Summer European Tour,1995
24.935497,60.169496,2000-10-10 00:00:00+00,Helsinki,Finland,Nosturi,2000 Fall Northern European Tour,2000
23.787097,61.499098,1995-07-12 00:00:00+00,Tampere,Finland,Pakkahuone,1995 Spring/Summer European Tour,1995
-0.55,47.466699,1995-05-25 00:00:00+00,Angers,France,Chabada,1995 Spring/Summer European Tour,1995
2.7819,50.292998,1995-05-20 00:00:00+00,Arras,France,Le Pharos,1995 Spring/Summer European Tour,1995
-0.5805,44.840397,1999-10-11 00:00:00+00,Bordeaux,France,Theatre Barbey,1999 Fall European Tour,1999
-0.5805,44.840397,1992-05-29 00:00:00+00,Bordeaux,France,Theatre Barbey,1992 Spring European Tour,1992
-0.5805,44.840397,1990-11-02 00:00:00+00,Bordeaux,France,Club Jimmy,1990 Fall European Tour,1990
-0.5805,44.840397,1995-05-26 00:00:00+00,Bordeaux,France,Theatre Barbey,1995 Spring/Summer European Tour,1995
7.334899,47.792598,1995-06-10 00:00:00+00,Kingersheim,France,Salle Des Fetes,1995 Spring/Summer European Tour,1995
4.846698,45.748499,1995-06-08 00:00:00+00,Lyon,France,Espace Jean Bergion,1995 Spring/Summer European Tour,1995
8.723699,48.549797,1988-11-04 00:00:00+00,Nagold,Germany,Juz Nagold,1988 Fall European Tour,1988
4.846698,45.748499,1990-10-30 00:00:00+00,Lyon,France,Salle des Fetes,1990 Fall European Tour,1990
5.381099,43.297,1995-06-07 00:00:00+00,Marseille,France,Mirabeau,1995 Spring/Summer European Tour,1995
5.381099,43.297,1999-10-07 00:00:00+00,Marseille,France,Theatre Du Moulin,1999 Fall European Tour,1999
6.199997,48.6833,1995-05-21 00:00:00+00,Nancy,France,Terminal Export,1995 Spring/Summer European Tour,1995
6.199997,48.6833,1990-11-06 00:00:00+00,Nancy,France,Terminal Export,1990 Fall European Tour,1990
-1.553398,47.2173,1999-10-13 00:00:00+00,Nantes,France,L'Olympic,1999 Fall European Tour,1999
2.348798,48.853397,1992-05-27 00:00:00+00,Paris,France,Elysee Montmartre,1992 Spring European Tour,1992
2.348798,48.853397,1989-12-10 00:00:00+00,Paris,France,Hall,1989 Fall European Tour,1989
2.348798,48.853397,1999-10-14 00:00:00+00,Paris,France,Le Cafe De la Danse,1999 Fall European Tour,1999
2.348798,48.853397,1995-05-22 00:00:00+00,Paris,France,Elysee Montmartre,1995 Spring/Summer European Tour,1995
2.348798,48.853397,1988-11-22 00:00:00+00,Paris,France,Club Gibus,1988 Fall European Tour,1988
2.348798,48.853397,1990-11-05 00:00:00+00,Paris,France,Espace Ornand,1990 Fall European Tour,1990
0.3333,46.583301,1995-05-24 00:00:00+00,Poitiers,France,Le Confort Moderne,1995 Spring/Summer European Tour,1995
0.3333,46.583301,1999-10-12 00:00:00+00,Poitiers,France,Le Confort Moderne,1999 Fall European Tour,1999
0.3333,46.583301,1990-11-03 00:00:00+00,Poitiers,France,Le Confort Moderne,1990 Fall European Tour,1990
0.3333,46.583301,1992-05-28 00:00:00+00,Poitiers,France,La Blaiserie,1992 Spring European Tour,1992
-3.628896,47.814198,1990-11-04 00:00:00+00,Sur Belon,France,Kergon Forte,1990 Fall European Tour,1990
1.443698,43.604297,1995-06-06 00:00:00+00,Toulouse,France,Le Bikini,1995 Spring/Summer European Tour,1995
1.443698,43.604297,1992-05-30 00:00:00+00,Toulouse,France,Le Bikini,1992 Spring European Tour,1992
10.883299,48.366695,1988-11-05 00:00:00+00,Augsburg,Germany,Bootleg,1988 Fall European Tour,1988
13.410497,52.524397,1989-12-03 00:00:00+00,Berlin,Germany,Menza,1989 Fall European Tour,1989
13.410497,52.524397,1995-07-02 00:00:00+00,Berlin,Germany,TU Mensa,1995 Spring/Summer European Tour,1995
13.410497,52.524397,1992-06-28 00:00:00+00,Berlin,Germany,Tempodrome,1992 Spring European Tour,1992
13.410497,52.524397,1988-10-28 00:00:00+00,Berlin,Germany,Ex,1988 Fall European Tour,1988
13.410497,52.524397,1990-10-07 00:00:00+00,Berlin,Germany,Neue Welt,1990 Fall European Tour,1990
13.410497,52.524397,1999-09-20 00:00:00+00,Berlin,Germany,SO 36,1999 Fall European Tour,1999
8.533297,52.033295,1995-07-08 00:00:00+00,Bielefeld,Germany,JZ Kamp,1995 Spring/Summer European Tour,1995
8.533297,52.033295,1989-12-06 00:00:00+00,Bielefeld,Germany,AJZ,1989 Fall European Tour,1989
8.533297,52.033295,1990-10-08 00:00:00+00,Bielefeld,Germany,PC 69,1990 Fall European Tour,1990
8.533297,52.033295,1988-10-31 00:00:00+00,Bielefeld,Germany,AJZ,1988 Fall European Tour,1988
8.807796,53.075196,1995-07-09 00:00:00+00,Bremen,Germany,Schlachthof,1995 Spring/Summer European Tour,1995
8.807796,53.075196,1992-07-03 00:00:00+00,Bremen,Germany,Schlachthof,1992 Spring European Tour,1992
8.807796,53.075196,1990-09-25 00:00:00+00,Bremen,Germany,Schlachthof,1990 Fall European Tour,1990
7.465996,51.514896,1992-06-30 00:00:00+00,Dortmund,Germany,Music Circus,1992 Spring European Tour,1992
7.465996,51.514896,1995-07-03 00:00:00+00,Dortmund,Germany,Soundgarden,1995 Spring/Summer European Tour,1995
6.776196,51.221697,1988-11-01 00:00:00+00,Dusseldorf,Germany,AK47,1988 Fall European Tour,1988
8.684197,50.115497,1992-06-19 00:00:00+00,Frankfurt,Germany,Hugenotten Halle,1992 Spring European Tour,1992
10.0153,53.575298,1992-07-02 00:00:00+00,Hamburg,Germany,Fabrik,1992 Spring European Tour,1992
10.0153,53.575298,1995-07-04 00:00:00+00,Hamburg,Germany,Fabrik,1995 Spring/Summer European Tour,1995
10.0153,53.575298,1988-10-27 00:00:00+00,Hamburg,Germany,Hafenstrasse,1988 Fall European Tour,1988
10.0153,53.575298,1999-09-18 00:00:00+00,Hamburg,Germany,Fabrik,1999 Fall European Tour,1999
10.0153,53.575298,1990-09-26 00:00:00+00,Hamburg,Germany,Fabrik,1990 Fall European Tour,1990
10.0153,53.575298,1989-12-02 00:00:00+00,Hamburg,Germany,Markthalle,1989 Fall European Tour,1989
9.733197,52.370496,1988-10-29 00:00:00+00,Hannover,Germany,Korn,1988 Fall European Tour,1988
9.733197,52.370496,1992-06-25 00:00:00+00,Hannover,Germany,Glocksee,1992 Spring European Tour,1992
9.733197,52.370496,1990-10-09 00:00:00+00,Hannover,Germany,Glocksee,1990 Fall European Tour,1990
8.690798,49.407696,1989-12-04 00:00:00+00,Heidelberg,Germany,Mensa,1989 Fall European Tour,1989
7.338699,49.3264,1988-11-03 00:00:00+00,Homburg,Germany,Juz Homburg,1988 Fall European Tour,1988
10.134897,54.321298,1988-10-30 00:00:00+00,Kiel,Germany,Alte Meierei,1988 Fall European Tour,1988
6.949999,50.933297,1992-07-01 00:00:00+00,Koln,Germany,Rhenania,1992 Spring European Tour,1992
12.371298,51.339596,1999-09-22 00:00:00+00,Leipzig,Germany,Conne Island,1999 Fall European Tour,1999
8.614198,52.306995,1988-10-21 00:00:00+00,Lubeck,Germany,Alternative,1988 Fall European Tour,1988
